IDREFPELANGGAN,ID_UNIT_USAHA,FSTREAMID,FDAYOFWEEK,FHOUR,AVG_FDVC
0110009784,011,1,2,11,71.54
0123031927,012,1,3,10,1546.93
02200335,022,1,2,15,121.25
023516505,023,1,2,6,105.43
0130011852,013,1,3,21,413.0
02200068,022,1,3,16,426.74
0140019666,014,1,2,23,190.8
02200367,022,1,3,0,94.28
0150020602,015,1,3,13,327.39
0150020274,015,1,2,11,197.0
02100273,021,1,2,14,19.86
014586158,014,1,2,16,203.82
011531256,011,1,3,21,1.36
0120003618,012,1,3,13,142.08
033562839,033,1,3,9,38.48
02100195,021,1,2,11,56.46
02300299,023,1,3,11,93.09
0110025839,011,1,2,4,11.35
0130252579,013,1,3,7,837.0
0130024663,013,1,2,20,108.0
02200107,022,1,3,2,463.57
02300316,023,1,2,5,575.8
022538212,022,1,2,16,1225.06
0130012210,013,1,2,9,192.94
0130014660,013,1,2,21,323.87
013516856,013,1,2,3,172.0
014527317,014,1,3,14,233.58
022560510,022,1,3,11,94.62
013586167,013,1,2,23,109.92
031586144,031,1,3,16,433.92
02100312,021,1,3,4,594.57
02300291,023,1,3,20,191.43
02300220,023,1,3,9,22.86
023515036,023,1,3,16,120.22
023561108,023,1,3,3,280.82
02200347,022,1,2,16,33.88
012514856,012,1,3,9,305.61
0120010103,012,1,3,0,0.21
01903030112,019,1,2,20,53.95
02100015,021,1,3,2,130.4
013708656,013,1,3,0,58.0
02100325,021,1,2,11,12.47
0110025437,011,1,3,5,80.78
02200332,022,1,2,9,125.07
0193030456,019,1,2,11,135.89
022586135,022,1,2,1,277.92
0140019636,014,1,2,15,1146.33
0110025451,011,1,3,15,54.65
0110010458,011,1,3,0,2.0
02300112,023,1,2,17,3153.07
0130252580,013,1,3,13,255.0
0140019661,014,1,2,12,17.86
0150000015,015,1,3,10,81.11
015525967,015,1,3,16,2.75
0190303093,019,1,3,21,683.02
02100196,021,1,2,5,415.36
0140019631,014,1,3,19,136.0
012513667,012,1,2,21,29.84
02100334,021,1,2,18,72.21
023516504,023,1,2,12,37.38
01700885,017,1,3,13,24.2
02200331,022,1,2,13,81.53
0140014751,014,1,2,22,2271.75
0140019655,014,1,3,23,200.51
02200307,022,1,2,14,436.19
034740458,034,1,3,7,378.61
0130024938,013,1,2,20,180.0
014529533,014,1,2,6,47.13
011575529,011,1,3,12,49.84
011517767,011,1,3,19,7.18
022514010,022,1,3,2,79.35
013532723,013,1,3,9,56.71
02100344,021,1,2,7,420.02
014565614,014,1,2,1,26.21
0110003632,011,1,2,18,64.29
0110025784,011,1,3,19,26.0
0123031005,012,1,2,19,499.37
0120303054,012,1,2,8,61.76
0150004184,015,1,3,11,373.33
014523235,014,1,2,7,433.86
02100365,021,1,2,7,613.0
015547319,015,1,2,8,77.3
012516810,012,1,3,4,61.39
0130019375,013,1,3,14,176.0
0150020213,015,1,3,15,28.09
014517534,014,1,2,1,69.0
0123031036,012,1,2,9,3323.01
011586124,011,1,3,9,9.92
0120008909,012,1,2,12,376.6
015548374,015,1,2,1,985.38
012515154,012,1,2,17,246.26
013701402,013,1,2,15,16.51
023519072,023,1,2,8,18.99
0130252592,013,1,3,15,142.0
03107243,031,1,3,12,119.95
014713296,014,1,3,15,171.29
02200277,022,1,2,16,289.0
02300322,023,1,3,12,3235.86
014564187,014,1,3,9,146.67
015650958,015,1,2,11,36.06
0120010315,012,1,3,3,2732.74
0120014657,012,1,3,17,503.8
015526831,015,1,2,14,20.19
02300255,023,1,3,11,75.63
02300301,023,1,3,17,0.31
021586156,021,1,3,11,99.21
0110010128,011,1,3,15,39.0
0150020605,015,1,2,6,30.43
0150020610,015,1,2,9,35.19
0150020218,015,1,2,9,151.0
0190303081,019,1,3,10,48.59
013518702,013,1,3,11,116.64
013552376,013,1,2,10,90.0
021526821,021,1,2,12,18.71
023528440,023,1,2,10,89.53
0110007827,011,1,3,11,188.0
01203030132,012,1,2,15,109.17
012761581,012,1,2,6,402.51
012559323,012,1,3,14,253.93
022516939,022,1,3,2,3627.08
012514864,012,1,2,0,38.5
02200357,022,1,3,11,95.0
013522083,013,1,2,2,97.68
031522250,031,1,2,3,0.54
012546615,012,1,2,15,136.5
012667959,012,1,2,15,282.79
011514324,011,1,2,6,45.1
02200383,022,1,2,6,360.14
0130014862,013,1,2,17,45.52
0130009450,013,1,2,1,738.0
012516811,012,1,2,21,90.41
0150000017,015,1,2,8,10.06
022514869,022,1,2,15,4.44
02200318,022,1,2,11,245.12
015548010,015,1,2,11,12.42
012560107,012,1,3,3,14.9
0150020590,015,1,2,14,37.33
0190303068,019,1,2,19,6683.19
014548469,014,1,3,10,132.18
014548473,014,1,3,7,50.85
021516673,021,1,2,8,86.16
02100311,021,1,3,10,251.86
02100286,021,1,2,21,359.0
02200314,022,1,2,13,64.06
02103252,021,1,2,13,5.61
0110026201,011,1,2,14,299.0
012699832,012,1,3,7,760.41
022560870,022,1,2,13,287.31
014618719,014,1,2,10,53.8
015517268,015,1,3,2,40.15
015526406,015,1,3,5,4.52
0120003613,012,1,3,1,9168.33
0130018556,013,1,3,9,190.0
0130009871,013,1,3,22,1756.16
0110025678,011,1,2,4,17.04
02200389,022,1,2,17,57.5
0140019643,014,1,2,0,516.0
01612491,016,1,2,21,55.46
015526437,015,1,2,9,23.38
0110007838,011,1,3,14,188.0
0120303029,012,1,2,19,90.83
01700885,017,1,2,3,46.14
02100088,021,1,2,17,379.53
0110025813,011,1,2,7,98.0
03300027,033,1,2,22,57.96
022667054,022,1,2,16,793.57
